cod_apo,regiao,ano_modelo,tipo_franq,val_franq,is_casco,utilizacao,clas_bonus,perc_bonus,sexo,idade_condutor,exposicao,pre_casco,n_sinistros,valor_sinistro
52688145,01,2011,1,1696,21381,2,9,30,F,42.913073237508556,0.49555099247091033,1209,0,0
147330591,01,2006,1,1681,24859,1,0,0,F,33.661875427789184,0.49555099247091033,448,0,0
131281035,01,2017,1,1587,38847,1,6,0,F,58.365503080082135,0.06844626967830253,747,0,0
188448491,01,2009,2,1452,19382,2,6,0,M,38.81177275838467,0.49555099247091033,862,0,0
141725858,01,2015,2,2773,32987,1,0,20,F,54.554414784394254,0.49555099247091033,1393,0,0
74276439,01,2018,1,1638,32655,2,2,15,M,53.256673511293634,0.2792607802874743,1602,1,6428
224873763,01,2009,1,2090,27738,2,0,0,M,42.09993155373032,0.30937713894592744,1322,0,0
223385641,01,2010,1,2786,25976,1,0,49,M,55.474332648870636,0.05475701574264202,793,0,0
171199684,01,2011,2,1488,25115,2,1,0,M,47.931553730321696,0.29568788501026694,124,1,587
102844483,01,2013,1,1384,31448,1,0,30,M,39.53182751540041,0.49555099247091033,1298,0,0
101666785,01,2011,1,1974,37578,1,0,0,M,41.097878165639976,0.038329911019849415,1901,0,0
286442991,01,2013,1,1821,31240,1,1,30,M,61.07871321013005,0.48459958932238195,901,0,0
228376985,01,2014,1,2146,30807,2,0,0,M,30.04517453798768,0.4134154688569473,809,0,0
151971372,01,2012,2,2996,27152,1,6,30,F,37.74674880219028,0.11772758384668036,884,0,0
262930348,01,2019,1,1692,37708,1,0,0,F,28.829568788501028,0.2135523613963039,720,0,0
37194290,01,2012,1,1872,21952,2,9,25,F,73.72210814510609,0.4161533196440794,602,0,0
274794528,01,2018,1,1737,50364,1,0,30,M,35.07734428473648,0.4736481861738535,1954,0,0
49270865,01,2012,1,1991,23002,2,0,0,M,38.652977412731005,0.3203285420944558,996,0,0
149030458,01,2018,1,1369,41235,2,0,0,M,61.84531143052703,0.49007529089664614,763,0,0
66922233,01,2002,1,1397,10279,3,0,0,M,61.65092402464066,0.26283367556468173,153,0,0
158870809,01,2011,2,2083,38021,2,1,0,F,75.84120465434634,0.49555099247091033,426,1,127
253743355,01,2011,1,1728,24654,2,9,20,F,47.38124572210815,0.49555099247091033,643,0,0
256965242,01,2008,1,1808,18346,1,0,0,F,30.368240930869266,0.49555099247091033,908,0,0
259006858,01,2015,1,2959,72613,0,4,25,M,32.6735112936345,0.49555099247091033,2019,0,0
93025886,01,2016,1,1568,46683,0,7,30,M,53.36618754277892,0.49555099247091033,797,0,0
215716777,01,2015,1,1965,40112,1,1,30,F,38.997946611909654,0.030116358658453114,1128,0,0
253592493,01,2011,2,2912,22599,2,6,0,M,46.25598904859685,0.14510609171800137,512,0,0
